transaction_id,account_id,transaction_type,transaction_date,transaction_mode,transaction_amount,remarks,currency
53,40,Transfer,"2025-08-24 18:54:35",Online,17956.00,"Transfer transaction",INR
54,14,Transfer,"2025-03-14 18:54:35",Online,72840.00,"Transfer transaction",INR
55,44,Withdrawal,"2025-12-03 18:54:35",NEFT,75014.00,"Withdrawal transaction",INR
56,129,Loan_payment,"2025-07-03 18:54:35",Cheque,94838.00,"Loan_payment transaction",INR
57,198,Deposit,"2026-02-08 18:54:35",Cash,51136.00,"Deposit transaction",INR
58,358,Transfer,"2025-03-28 18:54:35",Online,25291.00,"Transfer transaction",INR
59,292,Deposit,"2026-02-06 18:54:35",Cash,84542.00,"Deposit transaction",INR
60,365,Loan_payment,"2025-12-12 18:54:35",NEFT,31939.00,"Loan_payment transaction",INR
61,196,Transfer,"2025-09-18 18:54:35",NEFT,81556.00,"Transfer transaction",INR
62,171,Loan_payment,"2025-10-06 18:54:35",ATM,81530.00,"Loan_payment transaction",INR
63,194,Loan_payment,"2025-02-17 18:54:35",Online,25396.00,"Loan_payment transaction",INR
64,180,Transfer,"2025-09-08 18:54:35",Online,18156.00,"Transfer transaction",INR
65,355,Deposit,"2025-08-02 18:54:35",Cash,94458.00,"Deposit transaction",INR
66,279,Transfer,"2025-08-01 18:54:35",Cash,73610.00,"Transfer transaction",INR
67,163,Withdrawal,"2025-07-08 18:54:35",Online,33403.00,"Withdrawal transaction",INR
68,336,Transfer,"2025-05-07 18:54:35",Online,21439.00,"Transfer transaction",INR
69,116,Withdrawal,"2025-03-19 18:54:35",Cash,5929.00,"Withdrawal transaction",INR
70,174,Withdrawal,"2025-10-03 18:54:35",Cheque,34898.00,"Withdrawal transaction",INR
71,314,Deposit,"2025-04-05 18:54:35",Online,67191.00,"Deposit transaction",INR
72,20,Deposit,"2025-08-27 18:54:35",Cheque,63869.00,"Deposit transaction",INR
73,161,Withdrawal,"2025-07-26 18:54:35",Online,51806.00,"Withdrawal transaction",INR
74,41,Loan_payment,"2025-07-23 18:54:35",Cheque,81126.00,"Loan_payment transaction",INR
75,301,Withdrawal,"2025-08-02 18:54:35",Cheque,91926.00,"Withdrawal transaction",INR
76,252,Deposit,"2025-12-17 18:54:35",NEFT,41461.00,"Deposit transaction",INR
77,369,Deposit,"2025-07-16 18:54:35",Cheque,93787.00,"Deposit transaction",INR
78,385,Transfer,"2025-03-12 18:54:35",Cash,86281.00,"Transfer transaction",INR
79,133,Deposit,"2025-11-15 18:54:35",NEFT,80350.00,"Deposit transaction",INR
80,248,Withdrawal,"2025-02-20 18:54:35",NEFT,22742.00,"Withdrawal transaction",INR
81,390,Loan_payment,"2025-06-27 18:54:35",NEFT,72092.00,"Loan_payment transaction",INR
82,323,Transfer,"2025-06-07 18:54:35",ATM,96721.00,"Transfer transaction",INR
83,220,Deposit,"2025-11-17 18:54:35",Cheque,56000.00,"Deposit transaction",INR
84,41,Withdrawal,"2025-10-23 18:54:35",Cash,75658.00,"Withdrawal transaction",INR
85,47,Transfer,"2025-11-28 18:54:35",NEFT,61879.00,"Transfer transaction",INR
86,166,Transfer,"2025-06-23 18:54:35",ATM,34995.00,"Transfer transaction",INR
87,117,Withdrawal,"2025-02-17 18:54:35",NEFT,46041.00,"Withdrawal transaction",INR
88,154,Deposit,"2025-08-17 18:54:35",Online,86228.00,"Deposit transaction",INR
89,94,Withdrawal,"2025-11-16 18:54:35",Online,63416.00,"Withdrawal transaction",INR
90,255,Loan_payment,"2025-04-12 18:54:35",NEFT,32199.00,"Loan_payment transaction",INR
91,316,Deposit,"2025-08-14 18:54:35",Cheque,26259.00,"Deposit transaction",INR
92,247,Withdrawal,"2025-07-29 18:54:35",NEFT,45232.00,"Withdrawal transaction",INR
93,321,Transfer,"2025-07-09 18:54:35",NEFT,20826.00,"Transfer transaction",INR
94,75,Loan_payment,"2025-06-10 18:54:35",Cash,8320.00,"Loan_payment transaction",INR
95,112,Transfer,"2025-07-13 18:54:35",Cheque,29079.00,"Transfer transaction",INR
96,30,Transfer,"2025-05-02 18:54:35",Online,57498.00,"Transfer transaction",INR
97,127,Loan_payment,"2026-02-12 18:54:35",ATM,15265.00,"Loan_payment transaction",INR
98,391,Transfer,"2025-10-30 18:54:35",ATM,67861.00,"Transfer transaction",INR
99,34,Withdrawal,"2025-03-05 18:54:35",Cheque,52131.00,"Withdrawal transaction",INR
100,61,Loan_payment,"2025-05-25 18:54:35",Cash,87747.00,"Loan_payment transaction",INR
101,122,Transfer,"2026-01-02 18:54:35",ATM,28139.00,"Transfer transaction",INR
102,167,Deposit,"2026-01-21 18:54:35",Cheque,64953.00,"Deposit transaction",INR
103,265,Loan_payment,"2025-11-14 18:54:35",NEFT,97012.00,"Loan_payment transaction",INR
104,338,Deposit,"2025-07-10 18:54:35",Cheque,29958.00,"Deposit transaction",INR
105,400,Deposit,"2025-11-10 18:54:35",Online,99598.00,"Deposit transaction",INR
106,324,Deposit,"2025-12-11 18:54:35",Online,10477.00,"Deposit transaction",INR
107,119,Transfer,"2025-06-30 18:54:35",Cheque,88937.00,"Transfer transaction",INR
108,128,Withdrawal,"2026-01-28 18:54:35",Online,64661.00,"Withdrawal transaction",INR
109,192,Withdrawal,"2025-07-20 18:54:35",Online,16145.00,"Withdrawal transaction",INR
110,79,Transfer,"2026-01-01 18:54:35",Cash,23123.00,"Transfer transaction",INR
111,45,Transfer,"2025-11-02 18:54:35",Cash,17623.00,"Transfer transaction",INR
112,370,Withdrawal,"2026-02-12 18:54:35",Online,58823.00,"Withdrawal transaction",INR
113,150,Loan_payment,"2025-08-15 18:54:35",Online,77131.00,"Loan_payment transaction",INR
114,339,Withdrawal,"2025-05-08 18:54:35",Cash,56524.00,"Withdrawal transaction",INR
115,141,Loan_payment,"2025-07-09 18:54:35",Cash,37122.00,"Loan_payment transaction",INR
116,408,Withdrawal,"2025-04-12 18:54:35",Cash,8285.00,"Withdrawal transaction",INR
117,43,Transfer,"2025-05-22 18:54:35",NEFT,97363.00,"Transfer transaction",INR
118,10,Withdrawal,"2025-05-21 18:54:35",ATM,90781.00,"Withdrawal transaction",INR
119,333,Transfer,"2025-08-27 18:54:35",Cash,78200.00,"Transfer transaction",INR
120,314,Transfer,"2025-11-02 18:54:35",Online,36145.00,"Transfer transaction",INR
121,292,Deposit,"2025-08-13 18:54:35",ATM,65217.00,"Deposit transaction",INR
122,72,Deposit,"2026-02-07 18:54:35",ATM,33299.00,"Deposit transaction",INR
123,19,Transfer,"2025-08-19 18:54:35",NEFT,16645.00,"Transfer transaction",INR
124,309,Loan_payment,"2025-09-06 18:54:35",Cash,23990.00,"Loan_payment transaction",INR
125,11,Loan_payment,"2025-11-21 18:54:35",Cash,79936.00,"Loan_payment transaction",INR
126,243,Withdrawal,"2025-03-17 18:54:35",ATM,20733.00,"Withdrawal transaction",INR
127,142,Transfer,"2025-04-15 18:54:35",NEFT,94989.00,"Transfer transaction",INR
128,318,Deposit,"2025-07-13 18:54:35",Cheque,30783.00,"Deposit transaction",INR
129,79,Withdrawal,"2025-10-27 18:54:35",NEFT,17048.00,"Withdrawal transaction",INR
130,22,Transfer,"2025-09-20 18:54:35",Cash,35946.00,"Transfer transaction",INR
131,354,Transfer,"2025-04-09 18:54:35",Cash,4673.00,"Transfer transaction",INR
132,322,Deposit,"2025-06-08 18:54:35",Cash,30554.00,"Deposit transaction",INR
133,117,Loan_payment,"2025-03-19 18:54:35",Cheque,34491.00,"Loan_payment transaction",INR
134,269,Transfer,"2025-03-31 18:54:35",Cheque,50259.00,"Transfer transaction",INR
135,189,Loan_payment,"2025-04-11 18:54:35",Cash,63071.00,"Loan_payment transaction",INR
136,50,Loan_payment,"2025-05-01 18:54:35",Cheque,5349.00,"Loan_payment transaction",INR
137,38,Deposit,"2026-01-19 18:54:35",Cheque,7873.00,"Deposit transaction",INR
138,224,Transfer,"2025-03-03 18:54:35",Cheque,46952.00,"Transfer transaction",INR
139,39,Transfer,"2026-01-01 18:54:35",NEFT,60480.00,"Transfer transaction",INR
140,7,Transfer,"2025-07-29 18:54:35",Online,71285.00,"Transfer transaction",INR
141,208,Transfer,"2025-11-15 18:54:35",Cash,84427.00,"Transfer transaction",INR
142,3,Withdrawal,"2025-08-17 18:54:35",NEFT,27570.00,"Withdrawal transaction",INR
143,318,Withdrawal,"2025-07-18 18:54:35",ATM,32885.00,"Withdrawal transaction",INR
144,309,Transfer,"2025-10-03 18:54:35",Cheque,97259.00,"Transfer transaction",INR
145,33,Deposit,"2025-10-20 18:54:35",Cash,29338.00,"Deposit transaction",INR
146,14,Loan_payment,"2025-08-06 18:54:35",NEFT,20028.00,"Loan_payment transaction",INR
147,54,Loan_payment,"2025-11-06 18:54:35",Online,6548.00,"Loan_payment transaction",INR
148,66,Withdrawal,"2025-11-02 18:54:35",NEFT,96560.00,"Withdrawal transaction",INR
149,341,Transfer,"2025-05-18 18:54:35",NEFT,24387.00,"Transfer transaction",INR
150,312,Withdrawal,"2025-08-17 18:54:35",NEFT,50708.00,"Withdrawal transaction",INR
151,371,Deposit,"2025-07-21 18:54:35",ATM,96171.00,"Deposit transaction",INR
152,195,Transfer,"2025-10-24 18:54:35",ATM,62435.00,"Transfer transaction",INR
153,202,Deposit,"2025-03-08 18:54:35",Online,49675.00,"Deposit transaction",INR
154,379,Loan_payment,"2025-03-14 18:54:35",Cheque,72719.00,"Loan_payment transaction",INR
155,272,Withdrawal,"2025-10-20 18:54:35",NEFT,49145.00,"Withdrawal transaction",INR
156,310,Transfer,"2025-11-22 18:54:35",Cheque,75141.00,"Transfer transaction",INR
157,33,Deposit,"2025-03-18 18:54:35",Cash,69674.00,"Deposit transaction",INR
158,75,Deposit,"2026-01-03 18:54:35",ATM,16144.00,"Deposit transaction",INR
159,110,Deposit,"2025-03-17 18:54:35",Online,97236.00,"Deposit transaction",INR
160,131,Deposit,"2025-11-23 18:54:35",Cheque,82200.00,"Deposit transaction",INR
161,48,Deposit,"2025-08-09 18:54:35",ATM,88509.00,"Deposit transaction",INR
162,141,Transfer,"2026-01-25 18:54:35",ATM,13401.00,"Transfer transaction",INR
163,374,Loan_payment,"2025-11-11 18:54:35",Online,32424.00,"Loan_payment transaction",INR
164,210,Deposit,"2025-03-16 18:54:35",ATM,74013.00,"Deposit transaction",INR
165,214,Withdrawal,"2025-03-30 18:54:35",Cash,80827.00,"Withdrawal transaction",INR
166,75,Transfer,"2025-04-14 18:54:35",ATM,25240.00,"Transfer transaction",INR
167,341,Withdrawal,"2025-05-09 18:54:35",Online,57921.00,"Withdrawal transaction",INR
168,260,Deposit,"2026-01-20 18:54:35",Cheque,80320.00,"Deposit transaction",INR
169,187,Loan_payment,"2025-02-21 18:54:35",Cash,4277.00,"Loan_payment transaction",INR
170,250,Withdrawal,"2025-07-15 18:54:35",Cheque,5904.00,"Withdrawal transaction",INR
171,137,Withdrawal,"2025-08-28 18:54:35",Online,88673.00,"Withdrawal transaction",INR
172,274,Withdrawal,"2026-02-01 18:54:35",ATM,88988.00,"Withdrawal transaction",INR
173,45,Loan_payment,"2025-03-02 18:54:35",NEFT,43520.00,"Loan_payment transaction",INR
174,42,Loan_payment,"2025-07-08 18:54:35",Online,63625.00,"Loan_payment transaction",INR
175,295,Withdrawal,"2025-05-15 18:54:35",Cheque,72287.00,"Withdrawal transaction",INR
176,24,Loan_payment,"2025-06-03 18:54:35",Online,1952.00,"Loan_payment transaction",INR
177,28,Loan_payment,"2025-08-17 18:54:35",NEFT,22349.00,"Loan_payment transaction",INR
178,404,Loan_payment,"2025-03-17 18:54:35",Cheque,36041.00,"Loan_payment transaction",INR
179,271,Transfer,"2025-04-04 18:54:35",Cheque,50498.00,"Transfer transaction",INR
180,166,Loan_payment,"2025-03-18 18:54:35",ATM,39463.00,"Loan_payment transaction",INR
181,270,Transfer,"2025-08-14 18:54:35",Cheque,50005.00,"Transfer transaction",INR
182,353,Deposit,"2025-02-16 18:54:35",Cash,71567.00,"Deposit transaction",INR
183,382,Withdrawal,"2026-01-18 18:54:35",Online,60905.00,"Withdrawal transaction",INR
184,260,Transfer,"2025-07-19 18:54:35",Cheque,89220.00,"Transfer transaction",INR
185,35,Deposit,"2025-02-24 18:54:35",ATM,67950.00,"Deposit transaction",INR
186,346,Transfer,"2025-07-04 18:54:35",Online,22878.00,"Transfer transaction",INR
187,239,Withdrawal,"2025-12-26 18:54:35",ATM,1464.00,"Withdrawal transaction",INR
188,338,Loan_payment,"2025-09-08 18:54:35",NEFT,64362.00,"Loan_payment transaction",INR
189,139,Transfer,"2025-04-08 18:54:35",ATM,34812.00,"Transfer transaction",INR
190,188,Deposit,"2025-08-31 18:54:35",Cheque,68754.00,"Deposit transaction",INR
191,116,Deposit,"2025-04-18 18:54:35",Cash,1741.00,"Deposit transaction",INR
192,351,Deposit,"2025-04-26 18:54:35",Cheque,72120.00,"Deposit transaction",INR
193,175,Deposit,"2025-08-27 18:54:35",Online,67671.00,"Deposit transaction",INR
194,272,Withdrawal,"2025-04-14 18:54:35",NEFT,85178.00,"Withdrawal transaction",INR
195,146,Deposit,"2026-01-20 18:54:35",NEFT,23711.00,"Deposit transaction",INR
196,291,Withdrawal,"2025-03-12 18:54:35",ATM,28859.00,"Withdrawal transaction",INR
197,126,Transfer,"2026-02-13 18:54:35",Cheque,71555.00,"Transfer transaction",INR
198,175,Deposit,"2026-02-12 18:54:35",Online,8551.00,"Deposit transaction",INR
199,237,Withdrawal,"2025-07-13 18:54:35",Online,82346.00,"Withdrawal transaction",INR
200,118,Withdrawal,"2025-06-30 18:54:35",ATM,63701.00,"Withdrawal transaction",INR
201,409,Deposit,"2026-02-11 18:54:35",ATM,2334.00,"Deposit transaction",INR
202,407,Withdrawal,"2025-10-23 18:54:35",Cash,85060.00,"Withdrawal transaction",INR
203,166,Deposit,"2025-03-31 18:54:35",Cheque,5930.00,"Deposit transaction",INR
204,302,Loan_payment,"2025-10-31 18:54:35",NEFT,99108.00,"Loan_payment transaction",INR
205,283,Transfer,"2025-07-14 18:54:35",Cheque,52238.00,"Transfer transaction",INR
206,78,Deposit,"2025-04-10 18:54:35",ATM,16376.00,"Deposit transaction",INR
207,47,Transfer,"2026-01-12 18:54:35",Online,926.00,"Transfer transaction",INR
208,69,Withdrawal,"2025-09-28 18:54:35",ATM,55274.00,"Withdrawal transaction",INR
209,7,Transfer,"2025-03-04 18:54:35",Cheque,93734.00,"Transfer transaction",INR
210,267,Loan_payment,"2025-06-23 18:54:35",Cash,34950.00,"Loan_payment transaction",INR
211,79,Withdrawal,"2025-05-03 18:54:35",Cheque,776.00,"Withdrawal transaction",INR
212,111,Loan_payment,"2025-08-02 18:54:35",Cash,95815.00,"Loan_payment transaction",INR
213,160,Withdrawal,"2025-08-13 18:54:35",ATM,29548.00,"Withdrawal transaction",INR
214,197,Loan_payment,"2025-09-17 18:54:35",Cheque,83865.00,"Loan_payment transaction",INR
215,10,Withdrawal,"2025-10-19 18:54:35",Cash,88375.00,"Withdrawal transaction",INR
216,172,Deposit,"2026-02-07 18:54:35",ATM,9151.00,"Deposit transaction",INR
217,392,Withdrawal,"2025-04-21 18:54:35",NEFT,64332.00,"Withdrawal transaction",INR
218,50,Withdrawal,"2025-04-03 18:54:35",Cash,13831.00,"Withdrawal transaction",INR
219,362,Deposit,"2025-04-06 18:54:35",NEFT,72923.00,"Deposit transaction",INR
220,137,Withdrawal,"2025-10-26 18:54:35",Cheque,5637.00,"Withdrawal transaction",INR
221,350,Loan_payment,"2025-09-26 18:54:35",NEFT,29735.00,"Loan_payment transaction",INR
222,168,Deposit,"2025-03-08 18:54:35",ATM,84755.00,"Deposit transaction",INR
223,369,Withdrawal,"2025-06-29 18:54:35",Cash,61425.00,"Withdrawal transaction",INR
224,274,Loan_payment,"2026-02-05 18:54:35",NEFT,39713.00,"Loan_payment transaction",INR
225,299,Withdrawal,"2025-08-31 18:54:35",Online,51680.00,"Withdrawal transaction",INR
226,277,Transfer,"2025-03-07 18:54:35",NEFT,94491.00,"Transfer transaction",INR
227,98,Deposit,"2025-11-24 18:54:35",Cash,34815.00,"Deposit transaction",INR
228,402,Loan_payment,"2025-12-02 18:54:35",ATM,15082.00,"Loan_payment transaction",INR
229,332,Withdrawal,"2025-09-28 18:54:35",Cash,37118.00,"Withdrawal transaction",INR
230,197,Transfer,"2025-09-10 18:54:35",ATM,22129.00,"Transfer transaction",INR
231,42,Transfer,"2025-03-01 18:54:35",Cash,21042.00,"Transfer transaction",INR
232,299,Withdrawal,"2026-01-11 18:54:35",ATM,70038.00,"Withdrawal transaction",INR
233,246,Transfer,"2026-01-18 18:54:35",NEFT,67611.00,"Transfer transaction",INR
234,189,Loan_payment,"2025-05-17 18:54:35",Cash,4319.00,"Loan_payment transaction",INR
235,247,Loan_payment,"2026-01-28 18:54:35",NEFT,71865.00,"Loan_payment transaction",INR
236,229,Withdrawal,"2025-08-19 18:54:35",Cash,61015.00,"Withdrawal transaction",INR
237,23,Loan_payment,"2025-08-20 18:54:35",NEFT,80201.00,"Loan_payment transaction",INR
238,16,Withdrawal,"2025-05-01 18:54:35",Cheque,71964.00,"Withdrawal transaction",INR
239,94,Deposit,"2025-04-27 18:54:35",NEFT,74461.00,"Deposit transaction",INR
240,25,Deposit,"2025-05-17 18:54:35",Online,88049.00,"Deposit transaction",INR
241,123,Deposit,"2025-07-31 18:54:35",Online,22435.00,"Deposit transaction",INR
242,166,Transfer,"2025-10-16 18:54:35",NEFT,35627.00,"Transfer transaction",INR
243,98,Deposit,"2025-06-28 18:54:35",Cheque,17333.00,"Deposit transaction",INR
244,222,Deposit,"2025-05-25 18:54:35",ATM,75732.00,"Deposit transaction",INR
245,277,Transfer,"2025-10-02 18:54:35",Cash,14291.00,"Transfer transaction",INR
246,235,Loan_payment,"2025-12-01 18:54:35",Cash,71122.00,"Loan_payment transaction",INR
247,238,Withdrawal,"2025-10-26 18:54:35",Online,23522.00,"Withdrawal transaction",INR
248,394,Deposit,"2025-10-29 18:54:35",Online,80780.00,"Deposit transaction",INR
249,313,Deposit,"2025-03-11 18:54:35",ATM,85797.00,"Deposit transaction",INR
250,350,Withdrawal,"2025-04-14 18:54:35",Cheque,40626.00,"Withdrawal transaction",INR
251,170,Withdrawal,"2025-09-09 18:54:35",Cheque,52230.00,"Withdrawal transaction",INR
252,98,Transfer,"2026-01-13 18:54:35",ATM,86930.00,"Transfer transaction",INR
253,265,Transfer,"2025-02-26 18:54:35",Online,91598.00,"Transfer transaction",INR
254,23,Transfer,"2025-07-25 18:54:35",Cheque,37327.00,"Transfer transaction",INR
255,345,Loan_payment,"2026-01-27 18:54:35",ATM,46275.00,"Loan_payment transaction",INR
256,67,Transfer,"2025-07-17 18:54:35",ATM,64531.00,"Transfer transaction",INR
257,264,Deposit,"2025-04-06 18:54:35",ATM,41990.00,"Deposit transaction",INR
258,106,Transfer,"2025-03-02 18:54:35",Cash,68207.00,"Transfer transaction",INR
259,104,Deposit,"2025-10-30 18:54:35",Online,37922.00,"Deposit transaction",INR
260,357,Withdrawal,"2025-12-31 18:54:35",NEFT,39897.00,"Withdrawal transaction",INR
261,2,Deposit,"2025-12-22 18:54:35",Cash,64791.00,"Deposit transaction",INR
262,109,Withdrawal,"2025-02-26 18:54:35",NEFT,85497.00,"Withdrawal transaction",INR
263,76,Withdrawal,"2025-12-17 18:54:35",Cheque,668.00,"Withdrawal transaction",INR
264,367,Loan_payment,"2025-03-06 18:54:35",NEFT,91697.00,"Loan_payment transaction",INR
265,363,Loan_payment,"2025-07-24 18:54:35",Cheque,51881.00,"Loan_payment transaction",INR
266,388,Deposit,"2025-08-12 18:54:35",Cheque,96813.00,"Deposit transaction",INR
267,235,Transfer,"2025-06-11 18:54:35",ATM,28606.00,"Transfer transaction",INR
268,41,Loan_payment,"2025-12-15 18:54:35",Cash,43993.00,"Loan_payment transaction",INR
269,135,Transfer,"2025-06-04 18:54:35",ATM,12102.00,"Transfer transaction",INR
270,156,Transfer,"2025-04-21 18:54:35",Online,77483.00,"Transfer transaction",INR
271,362,Loan_payment,"2025-07-21 18:54:35",Online,88437.00,"Loan_payment transaction",INR
272,275,Loan_payment,"2025-05-03 18:54:35",NEFT,58469.00,"Loan_payment transaction",INR
273,79,Withdrawal,"2025-07-31 18:54:35",NEFT,58104.00,"Withdrawal transaction",INR
274,1,Loan_payment,"2025-12-09 18:54:35",Cash,37369.00,"Loan_payment transaction",INR
275,203,Loan_payment,"2025-07-19 18:54:35",NEFT,87044.00,"Loan_payment transaction",INR
276,136,Transfer,"2025-09-24 18:54:35",Cash,90483.00,"Transfer transaction",INR
277,396,Deposit,"2025-07-20 18:54:35",Cheque,57338.00,"Deposit transaction",INR
278,379,Withdrawal,"2025-09-08 18:54:35",Online,82629.00,"Withdrawal transaction",INR
279,250,Transfer,"2026-01-09 18:54:35",Cheque,69344.00,"Transfer transaction",INR
280,357,Withdrawal,"2026-01-30 18:54:35",NEFT,98565.00,"Withdrawal transaction",INR
281,311,Loan_payment,"2025-04-09 18:54:35",Cash,60253.00,"Loan_payment transaction",INR
282,71,Loan_payment,"2025-03-25 18:54:35",NEFT,29991.00,"Loan_payment transaction",INR
283,245,Transfer,"2025-07-20 18:54:35",NEFT,26014.00,"Transfer transaction",INR
284,161,Loan_payment,"2025-07-04 18:54:35",NEFT,21542.00,"Loan_payment transaction",INR
285,206,Transfer,"2025-12-01 18:54:35",Cheque,62075.00,"Transfer transaction",INR
286,169,Loan_payment,"2025-03-21 18:54:35",NEFT,40990.00,"Loan_payment transaction",INR
287,381,Transfer,"2026-01-07 18:54:35",Cash,85900.00,"Transfer transaction",INR
288,35,Deposit,"2025-07-31 18:54:35",NEFT,9867.00,"Deposit transaction",INR
289,78,Loan_payment,"2025-03-17 18:54:35",ATM,29974.00,"Loan_payment transaction",INR
290,151,Deposit,"2025-04-06 18:54:35",NEFT,6462.00,"Deposit transaction",INR
291,249,Withdrawal,"2025-09-09 18:54:35",Cash,41279.00,"Withdrawal transaction",INR
292,22,Transfer,"2025-05-08 18:54:35",Cheque,96053.00,"Transfer transaction",INR
293,352,Loan_payment,"2025-04-21 18:54:35",Cash,90099.00,"Loan_payment transaction",INR
294,278,Withdrawal,"2025-05-14 18:54:35",Cash,87182.00,"Withdrawal transaction",INR
295,120,Loan_payment,"2025-10-22 18:54:35",Online,17618.00,"Loan_payment transaction",INR
296,86,Transfer,"2025-10-22 18:54:35",Online,7658.00,"Transfer transaction",INR
297,22,Withdrawal,"2025-05-16 18:54:35",NEFT,31014.00,"Withdrawal transaction",INR
298,344,Loan_payment,"2025-10-15 18:54:35",ATM,87249.00,"Loan_payment transaction",INR
299,122,Withdrawal,"2025-04-03 18:54:35",ATM,45752.00,"Withdrawal transaction",INR
300,215,Withdrawal,"2025-05-11 18:54:35",Online,96595.00,"Withdrawal transaction",INR
301,110,Withdrawal,"2026-02-04 18:54:35",Cheque,1960.00,"Withdrawal transaction",INR
