history_id,customer_id,branch_id,account_id,transaction_type,transaction_amount,opening_balance,closing_balance,transaction_date,transaction_mode,currency
45,144,21,278,Transfer,47387.69,13923.22,0.00,"2025-10-15 06:49:19",NEFT,INR
46,49,37,72,Transfer,4225.82,70091.86,65866.04,"2025-03-30 01:00:49",NEFT,INR
47,112,8,311,Withdrawal,33914.82,99283.75,65368.93,"2025-03-13 04:33:12",Cash,INR
48,123,48,391,Withdrawal,11134.41,95558.74,84424.33,"2025-08-18 20:36:26",Online,INR
49,250,18,36,Loan_payment,17438.79,35361.67,17922.88,"2024-08-10 05:47:18",Online,INR
50,226,27,350,Loan_payment,38599.76,39593.54,993.78,"2026-02-08 18:47:39",Cash,INR
51,281,45,88,Deposit,24674.20,47261.82,71936.02,"2025-09-24 03:13:38",Cash,INR
52,110,32,162,Deposit,8916.46,61913.91,70830.37,"2025-05-03 16:11:55",Cash,INR
53,148,33,65,Loan_payment,15192.18,0.00,0.00,"2025-07-26 21:36:21",Cash,INR
54,78,5,405,Withdrawal,58676.79,7962.76,0.00,"2024-11-07 05:13:26",Cheque,INR
55,25,3,402,Withdrawal,76217.53,9579.30,0.00,"2024-11-29 11:38:43",Online,INR
56,217,34,166,Loan_payment,79950.08,44968.72,0.00,"2025-01-31 22:08:52",ATM,INR
57,298,16,268,Transfer,31403.57,85067.67,53664.10,"2024-07-11 22:22:59",NEFT,INR
58,41,11,120,Loan_payment,23499.65,35727.84,12228.19,"2025-09-14 06:43:48",Cheque,INR
59,267,3,402,Transfer,26902.89,0.00,0.00,"2024-08-10 21:12:22",Cheque,INR
60,313,6,249,Loan_payment,67579.26,5169.06,0.00,"2025-11-17 08:27:12",Online,INR
61,73,11,220,Deposit,77083.40,36608.10,113691.50,"2024-04-07 01:36:47",ATM,INR
62,252,28,292,Withdrawal,18597.05,0.00,0.00,"2026-01-22 13:37:28",ATM,INR
63,280,14,324,Withdrawal,40829.80,65826.94,24997.14,"2025-10-02 13:17:43",ATM,INR
64,98,30,296,Withdrawal,31887.81,40968.29,9080.48,"2024-12-12 21:38:34",Cash,INR
65,75,7,409,Deposit,23379.65,9552.99,32932.64,"2024-09-21 17:31:26",Cash,INR
66,154,17,329,Loan_payment,78663.52,84370.54,5707.02,"2025-12-18 18:40:00",Online,INR
67,192,4,206,Deposit,27544.52,72880.99,100425.51,"2024-11-18 04:05:51",Cheque,INR
68,293,24,145,Transfer,40876.06,32026.37,0.00,"2025-10-04 13:13:28",ATM,INR
69,198,15,325,Deposit,81884.22,78928.19,160812.41,"2024-09-04 21:17:45",ATM,INR
70,120,19,236,Loan_payment,40503.35,83564.74,43061.39,"2025-11-19 05:53:42",Cash,INR
71,122,2,201,Transfer,84785.22,81731.14,0.00,"2024-05-03 15:33:49",ATM,INR
72,9,21,279,Deposit,6054.09,18462.54,24516.63,"2025-07-30 04:01:38",Cheque,INR
73,128,8,214,Deposit,70909.08,52508.55,123417.63,"2024-05-15 00:29:23",ATM,INR
74,61,25,147,Transfer,67035.48,61055.44,0.00,"2025-12-11 05:49:26",Online,INR
75,49,45,187,Transfer,2182.34,33094.32,30911.98,"2024-08-12 17:16:15",Online,INR
76,162,3,402,Loan_payment,76622.21,0.00,0.00,"2024-07-28 07:19:37",NEFT,INR
77,3,46,387,Withdrawal,56354.65,53175.92,0.00,"2025-01-23 18:17:09",Online,INR
78,113,23,45,Loan_payment,24269.92,26975.89,2705.97,"2025-12-07 16:03:18",Online,INR
79,231,40,178,Loan_payment,6330.60,70273.18,63942.58,"2025-10-13 15:42:36",ATM,INR
80,23,26,150,Deposit,36096.47,78842.59,114939.06,"2025-12-09 06:02:23",NEFT,INR
81,77,49,394,Transfer,66433.70,24988.44,0.00,"2024-08-18 12:22:18",NEFT,INR
82,175,36,367,Deposit,86933.57,80667.21,167600.78,"2024-04-30 14:17:39",Cheque,INR
83,283,34,364,Deposit,44455.34,54136.97,98592.31,"2025-05-05 11:13:40",Cash,INR
84,56,20,137,Loan_payment,2777.69,65395.15,62617.46,"2025-04-29 21:19:55",Online,INR
85,124,39,175,Transfer,38413.37,86278.00,47864.63,"2025-06-21 08:48:58",Cheque,INR
86,270,26,50,Withdrawal,65655.87,4279.74,0.00,"2024-05-25 03:04:56",Online,INR
87,143,3,301,Loan_payment,80890.43,20109.21,0.00,"2025-09-14 08:08:40",ATM,INR
88,104,33,163,Withdrawal,76645.98,17574.91,0.00,"2024-09-05 01:08:30",Cash,INR
89,120,1,239,Withdrawal,30754.04,63162.18,32408.14,"2025-09-10 01:38:01",Online,INR
90,45,39,374,Loan_payment,66679.05,89108.68,22429.63,"2025-04-11 21:14:28",Cash,INR
91,162,20,237,Loan_payment,84180.31,10924.77,0.00,"2024-06-27 06:59:05",NEFT,INR
92,191,36,368,Transfer,741.70,62618.70,61877.00,"2024-06-04 05:36:18",Cheque,INR
93,239,21,42,Transfer,33220.45,0.00,0.00,"2024-08-27 13:39:32",ATM,INR
94,172,1,297,Deposit,73161.50,35241.98,108403.48,"2024-12-09 12:51:41",Online,INR
95,256,33,65,Withdrawal,18077.73,0.00,0.00,"2024-12-04 09:11:46",ATM,INR
96,168,3,243,Deposit,63434.03,41785.72,105219.75,"2025-03-26 02:15:55",Cash,INR
97,83,9,18,Deposit,34888.30,53684.24,88572.54,"2025-04-29 20:58:23",Cash,INR
98,23,39,77,Withdrawal,37740.51,90913.66,53173.15,"2025-11-21 07:17:30",Cheque,INR
99,166,17,271,Transfer,3541.63,0.00,0.00,"2025-02-16 08:22:45",Online,INR
100,194,43,84,Transfer,1204.35,6890.56,5686.21,"2025-11-30 11:07:10",NEFT,INR
101,28,6,209,Withdrawal,43591.89,50999.27,7407.38,"2024-12-31 08:06:27",NEFT,INR
102,121,45,88,Loan_payment,84634.13,71936.02,0.00,"2025-09-21 04:19:02",Cash,INR
103,164,11,120,Loan_payment,71601.18,12228.19,0.00,"2024-11-23 16:35:52",Cash,INR
104,147,5,109,Transfer,32314.63,79843.36,47528.73,"2025-04-12 00:55:28",ATM,INR
105,48,38,173,Deposit,33222.02,63396.48,96618.50,"2025-02-25 07:09:50",Cash,INR
106,46,50,396,Deposit,50365.12,76176.27,126541.39,"2025-11-10 23:31:39",Cheque,INR
107,272,2,103,Transfer,29469.86,0.00,0.00,"2025-01-23 16:46:52",Cash,INR
108,132,26,289,Withdrawal,40797.93,55538.76,14740.83,"2024-04-11 06:33:57",Online,INR
109,196,10,257,Transfer,5294.26,47275.18,41980.92,"2025-02-15 07:07:38",Online,INR
110,301,27,350,Transfer,59216.06,993.78,0.00,"2025-06-13 17:34:41",Cheque,INR
111,295,24,146,Loan_payment,5524.91,6782.69,1257.78,"2024-12-18 17:52:10",Online,INR
112,35,11,220,Transfer,68242.87,113691.50,45448.63,"2025-05-02 16:21:38",ATM,INR
113,203,5,10,Loan_payment,70593.15,21906.78,0.00,"2024-03-28 08:00:55",ATM,INR
114,97,18,332,Transfer,14685.70,51573.19,36887.49,"2025-09-12 13:14:29",Cash,INR
115,65,7,113,Withdrawal,83195.30,0.00,0.00,"2025-05-19 02:19:23",Cash,INR
116,4,11,219,Withdrawal,54437.55,27799.59,0.00,"2026-02-01 06:21:56",Cheque,INR
117,218,10,20,Withdrawal,56399.02,25524.48,0.00,"2025-07-23 12:50:34",NEFT,INR
118,212,20,276,Transfer,2195.97,47557.73,45361.76,"2025-12-02 10:53:08",Cheque,INR
119,309,35,69,Withdrawal,80042.65,20884.00,0.00,"2024-02-23 06:27:27",NEFT,INR
120,4,47,191,Transfer,23077.40,0.00,0.00,"2025-01-22 21:52:40",Online,INR
121,200,9,18,Transfer,50127.05,88572.54,38445.49,"2025-04-15 10:52:05",Cash,INR
122,23,11,21,Withdrawal,69590.66,71336.59,1745.93,"2024-11-28 17:47:48",ATM,INR
123,108,40,177,Loan_payment,32082.02,42573.13,10491.11,"2025-11-27 11:04:57",Cheque,INR
124,25,24,285,Transfer,88842.79,58823.56,0.00,"2024-04-14 15:27:20",Cash,INR
125,259,12,24,Deposit,9619.73,53332.70,62952.43,"2025-04-09 19:48:35",Cash,INR
126,49,26,348,Withdrawal,59764.03,39653.22,0.00,"2025-06-04 18:45:28",NEFT,INR
127,269,50,395,Loan_payment,56303.07,16775.73,0.00,"2024-09-27 14:52:35",NEFT,INR
128,283,14,323,Transfer,85933.21,70812.53,0.00,"2025-03-20 09:40:09",Online,INR
129,49,19,236,Deposit,36433.22,43061.39,79494.61,"2024-10-30 00:10:49",ATM,INR
130,63,46,388,Loan_payment,1224.76,91495.21,90270.45,"2025-10-22 18:18:14",Cheque,INR
131,75,7,212,Transfer,28666.66,95377.54,66710.88,"2026-01-17 05:05:42",NEFT,INR
132,186,43,184,Withdrawal,22254.94,107049.44,84794.50,"2025-06-11 23:47:03",Cheque,INR
133,74,41,179,Transfer,58868.88,55030.78,0.00,"2025-06-07 18:48:42",NEFT,INR
134,102,7,410,Deposit,57429.44,35952.37,93381.81,"2025-12-05 13:35:14",Cheque,INR
135,242,48,194,Loan_payment,37780.53,22617.80,0.00,"2025-12-15 03:34:20",Cheque,INR
136,52,38,174,Loan_payment,27481.80,84879.97,57398.17,"2024-02-27 00:04:22",Cash,INR
137,6,23,143,Withdrawal,52937.66,92152.41,39214.75,"2026-01-02 12:30:56",NEFT,INR
138,34,1,397,Deposit,72687.44,19890.95,92578.39,"2024-10-18 21:30:48",ATM,INR
139,71,6,307,Deposit,75313.12,79140.04,154453.16,"2025-05-31 06:16:33",Cheque,INR
140,271,26,150,Withdrawal,41194.76,114939.06,73744.30,"2025-05-12 12:32:03",Cheque,INR
141,230,16,230,Withdrawal,37490.76,37507.88,17.12,"2025-06-27 08:46:52",Cheque,INR
142,148,1,1,Transfer,70108.01,67941.99,0.00,"2024-05-02 03:01:41",ATM,INR
143,268,4,244,Withdrawal,41030.78,81445.09,40414.31,"2024-08-08 10:56:20",Online,INR
144,140,8,411,Withdrawal,75147.10,45109.05,0.00,"2025-08-20 17:52:11",ATM,INR
145,258,37,370,Loan_payment,54121.11,60529.85,6408.74,"2024-06-07 10:36:43",Cash,INR
146,153,7,113,Deposit,11085.64,0.00,11085.64,"2024-06-19 18:24:42",Cheque,INR
147,87,18,273,Transfer,24030.69,99572.26,75541.57,"2025-10-23 23:27:21",Cheque,INR
148,20,7,13,Withdrawal,34928.57,82091.83,47163.26,"2025-05-21 16:18:31",NEFT,INR
149,20,14,264,Withdrawal,1769.57,7423.33,5653.76,"2024-04-15 12:54:58",Cash,INR
150,155,16,32,Deposit,46286.11,57411.06,103697.17,"2026-01-06 17:28:13",Online,INR
151,88,22,281,Loan_payment,43166.99,14242.87,0.00,"2024-03-13 09:01:58",Online,INR
152,235,22,281,Withdrawal,46050.77,0.00,0.00,"2025-05-22 07:26:16",Cheque,INR
153,73,19,235,Withdrawal,78969.53,30656.97,0.00,"2025-03-09 17:10:44",ATM,INR
154,10,49,96,Withdrawal,76122.95,74025.44,0.00,"2024-10-29 17:36:55",Online,INR
155,43,11,317,Transfer,8832.79,30996.89,22164.10,"2025-10-24 11:57:19",Online,INR
156,118,40,78,Withdrawal,2223.28,47309.96,45086.68,"2024-04-21 11:41:58",Cash,INR
157,229,32,360,Withdrawal,43415.10,68936.01,25520.91,"2025-02-13 01:49:56",Cheque,INR
158,81,8,214,Transfer,32809.40,123417.63,90608.23,"2025-03-03 07:03:25",ATM,INR
159,150,18,331,Deposit,31359.70,90057.99,121417.69,"2024-10-06 08:45:44",Cheque,INR
160,241,1,239,Loan_payment,49697.73,32408.14,0.00,"2025-05-22 04:49:33",Online,INR
161,7,12,260,Loan_payment,32137.52,4789.26,0.00,"2024-10-22 05:08:04",Cash,INR
162,294,28,293,Withdrawal,19625.79,38679.36,19053.57,"2025-07-06 21:29:47",Cheque,INR
163,198,50,99,Deposit,53917.53,57585.79,111503.32,"2024-10-25 11:24:36",Online,INR
164,34,46,190,Transfer,47054.36,90794.80,43740.44,"2025-10-22 05:38:33",Cash,INR
165,58,12,123,Transfer,17754.94,42840.64,25085.70,"2025-08-17 15:31:39",Cheque,INR
166,117,38,74,Withdrawal,48816.16,84924.74,36108.58,"2025-11-26 22:18:44",Cash,INR
167,305,41,378,Withdrawal,18426.32,25693.67,7267.35,"2024-05-26 16:55:31",ATM,INR
168,257,5,247,Loan_payment,12478.83,22803.55,10324.72,"2024-07-03 15:45:53",ATM,INR
169,251,4,106,Deposit,76953.03,89366.76,166319.79,"2024-09-16 23:45:51",NEFT,INR
170,249,22,141,Deposit,85391.13,28276.08,113667.21,"2025-07-25 13:57:04",NEFT,INR
171,214,49,196,Transfer,43138.07,12354.96,0.00,"2025-08-02 21:45:03",ATM,INR
172,293,19,37,Loan_payment,29468.13,85691.97,56223.84,"2026-01-06 06:17:33",Cash,INR
173,114,19,38,Deposit,40154.54,74740.28,114894.82,"2025-06-12 08:46:48",Cheque,INR
174,234,19,135,Deposit,87182.15,0.00,87182.15,"2024-06-22 05:38:34",Cheque,INR
175,250,20,237,Withdrawal,67943.09,0.00,0.00,"2025-11-04 10:46:32",Online,INR
176,184,8,214,Withdrawal,66774.70,90608.23,23833.53,"2024-07-18 17:16:10",ATM,INR
177,77,45,88,Deposit,52040.51,0.00,52040.51,"2024-11-30 06:38:20",Online,INR
178,10,45,188,Withdrawal,82635.17,98543.75,15908.58,"2025-05-02 05:56:03",Cheque,INR
179,117,30,157,Loan_payment,62541.86,71170.73,8628.87,"2024-06-12 02:02:53",NEFT,INR
180,180,3,104,Transfer,2994.93,0.00,0.00,"2024-05-08 08:01:05",Online,INR
181,131,9,413,Transfer,44323.14,51749.65,7426.51,"2024-09-01 03:38:42",Cheque,INR
182,88,24,145,Transfer,86988.84,0.00,0.00,"2024-07-25 00:40:22",Cheque,INR
183,126,32,162,Loan_payment,8930.51,70830.37,61899.86,"2025-06-20 08:44:40",ATM,INR
184,218,26,348,Deposit,5375.93,0.00,5375.93,"2025-02-28 05:42:50",NEFT,INR
185,57,5,208,Transfer,19607.57,23862.83,4255.26,"2024-05-16 17:01:54",Online,INR
186,92,4,245,Withdrawal,32932.18,88582.46,55650.28,"2025-12-24 06:07:47",NEFT,INR
187,199,26,348,Withdrawal,64264.77,5375.93,0.00,"2024-10-02 06:23:03",NEFT,INR
188,83,9,17,Loan_payment,82571.77,0.00,0.00,"2024-05-05 16:51:12",Online,INR
189,218,36,71,Loan_payment,2046.53,55102.75,53056.22,"2025-11-07 14:39:27",NEFT,INR
190,293,2,102,Transfer,56839.92,3235.96,0.00,"2024-10-14 10:15:55",Online,INR
191,272,32,161,Loan_payment,68147.48,66011.33,0.00,"2025-12-26 01:10:36",Cheque,INR
192,230,20,39,Loan_payment,88631.21,25842.57,0.00,"2025-06-12 17:41:13",Online,INR
193,73,8,115,Withdrawal,36546.22,77917.05,41370.83,"2024-05-27 02:51:00",Cash,INR
194,53,6,248,Withdrawal,61901.44,80901.76,19000.32,"2025-06-18 14:58:07",ATM,INR
195,140,49,393,Withdrawal,58119.14,32410.67,0.00,"2024-10-02 11:25:36",Cash,INR
196,294,19,275,Loan_payment,75226.86,85569.76,10342.90,"2024-10-08 21:22:14",NEFT,INR
197,44,27,53,Withdrawal,17163.57,46562.37,29398.80,"2024-12-14 08:01:05",Online,INR
198,254,15,128,Transfer,57528.55,50006.35,0.00,"2025-12-17 11:13:38",Cash,INR
199,190,34,165,Withdrawal,67006.80,75144.99,8138.19,"2024-04-05 10:20:27",Online,INR
200,128,30,58,Loan_payment,10965.13,0.00,0.00,"2024-12-15 13:02:30",Cheque,INR
201,283,5,406,Deposit,70844.68,4307.56,75152.24,"2026-01-14 20:09:12",NEFT,INR
202,113,3,242,Transfer,57440.68,39941.03,0.00,"2026-02-05 03:43:09",Cash,INR
203,210,2,240,Deposit,77175.98,29768.11,106944.09,"2024-11-16 13:53:48",NEFT,INR
204,214,48,391,Deposit,55066.02,84424.33,139490.35,"2024-11-05 08:53:23",Cash,INR
205,165,12,24,Deposit,55994.96,62952.43,118947.39,"2024-07-13 02:12:41",ATM,INR
206,22,11,317,Transfer,61656.84,22164.10,0.00,"2024-03-12 18:57:29",Cash,INR
207,60,27,152,Loan_payment,34775.55,23806.13,0.00,"2025-02-13 08:15:13",Online,INR
208,42,8,214,Loan_payment,8543.23,23833.53,15290.30,"2024-08-24 09:50:58",Online,INR
209,153,10,19,Withdrawal,4364.02,4834.96,470.94,"2024-08-21 13:38:28",NEFT,INR
210,168,39,176,Deposit,11198.75,58649.03,69847.78,"2024-06-08 20:43:02",NEFT,INR
211,303,47,390,Deposit,51147.86,71365.42,122513.28,"2025-03-13 14:42:40",Cash,INR
212,214,48,193,Deposit,90003.07,38510.08,128513.15,"2025-06-26 14:03:30",NEFT,INR
213,179,31,60,Withdrawal,69090.26,75845.37,6755.11,"2024-12-04 16:40:19",ATM,INR
214,200,24,48,Loan_payment,54371.36,17783.06,0.00,"2025-08-18 10:23:40",Online,INR
215,71,8,411,Transfer,25344.60,0.00,0.00,"2024-09-30 14:56:56",Cheque,INR
216,299,16,268,Transfer,45854.12,53664.10,7809.98,"2025-07-02 00:13:01",Cash,INR
217,262,6,11,Withdrawal,27843.62,95649.52,67805.90,"2025-10-29 19:37:43",Cash,INR
218,239,41,180,Withdrawal,8116.41,97461.61,89345.20,"2025-12-07 05:45:11",Online,INR
219,300,13,224,Deposit,84071.01,88727.03,172798.04,"2025-11-17 19:42:07",NEFT,INR
220,173,29,294,Deposit,4811.00,13237.05,18048.05,"2025-06-21 11:23:32",ATM,INR
221,279,28,293,Withdrawal,74854.15,19053.57,0.00,"2025-10-30 05:46:07",Cheque,INR
222,241,26,289,Transfer,55734.36,14740.83,0.00,"2024-10-28 09:01:57",Cash,INR
223,26,27,350,Transfer,89831.83,0.00,0.00,"2024-11-07 04:03:42",Online,INR
224,172,4,206,Withdrawal,6445.94,100425.51,93979.57,"2024-04-05 10:27:54",NEFT,INR
225,135,49,196,Loan_payment,79362.92,0.00,0.00,"2026-02-12 09:52:12",Cash,INR
226,312,46,91,Loan_payment,41524.40,59511.77,17987.37,"2024-10-18 22:42:41",NEFT,INR
227,62,16,229,Deposit,51626.87,33823.91,85450.78,"2024-03-01 04:58:20",ATM,INR
228,242,29,56,Transfer,28640.41,2698.90,0.00,"2024-02-21 00:05:24",NEFT,INR
229,177,8,412,Deposit,1950.05,37969.09,39919.14,"2025-11-18 13:22:13",ATM,INR
230,44,45,88,Transfer,44916.83,52040.51,7123.68,"2025-09-26 11:47:32",Online,INR
231,213,38,75,Deposit,87684.32,44034.14,131718.46,"2025-05-24 21:25:25",NEFT,INR
232,121,4,107,Withdrawal,77326.98,33017.38,0.00,"2024-07-19 08:27:13",NEFT,INR
233,2,4,403,Deposit,85822.35,118860.32,204682.67,"2024-07-13 03:14:51",ATM,INR
234,71,15,127,Loan_payment,11223.27,13622.05,2398.78,"2025-01-09 09:15:06",ATM,INR
235,33,41,180,Loan_payment,32003.47,89345.20,57341.73,"2025-02-28 08:16:20",Online,INR
236,59,7,310,Withdrawal,49340.05,69604.19,20264.14,"2024-05-12 18:11:40",NEFT,INR
237,176,6,249,Withdrawal,56073.74,0.00,0.00,"2026-01-12 08:40:18",Cheque,INR
238,180,15,227,Transfer,63422.19,10165.62,0.00,"2024-08-10 16:07:36",Online,INR
239,188,20,39,Loan_payment,739.47,0.00,0.00,"2025-02-20 10:44:20",Online,INR
240,122,31,357,Loan_payment,387.10,13380.43,12993.33,"2025-03-07 08:20:38",Online,INR
241,97,20,276,Loan_payment,18546.30,45361.76,26815.46,"2024-10-31 14:07:48",Cash,INR
242,233,6,248,Deposit,28769.67,19000.32,47769.99,"2024-02-25 23:55:42",Online,INR
243,117,4,403,Deposit,68271.19,204682.67,272953.86,"2025-02-06 06:54:40",Cash,INR
244,307,41,378,Deposit,5262.63,7267.35,12529.98,"2024-11-13 23:57:51",Online,INR
245,172,4,303,Transfer,6038.87,98577.04,92538.17,"2025-09-14 20:38:38",Cheque,INR
246,17,8,411,Loan_payment,18598.59,0.00,0.00,"2025-01-01 04:15:44",NEFT,INR
247,108,30,355,Deposit,62561.27,90153.17,152714.44,"2025-09-09 00:22:49",Online,INR
248,291,12,221,Deposit,76710.80,11699.94,88410.74,"2024-08-07 06:59:11",NEFT,INR
249,235,13,263,Loan_payment,77002.81,36983.01,0.00,"2024-07-03 11:59:31",Cash,INR
250,79,10,257,Transfer,4751.72,41980.92,37229.20,"2024-10-05 06:12:18",Online,INR
251,15,21,279,Deposit,32850.00,24516.63,57366.63,"2025-09-30 20:41:52",Online,INR
252,177,43,381,Deposit,4949.90,68769.94,73719.84,"2024-12-06 19:18:03",NEFT,INR
253,292,33,65,Loan_payment,10045.65,0.00,0.00,"2025-11-16 06:03:26",Cash,INR
254,6,4,107,Transfer,79856.44,0.00,0.00,"2025-10-09 05:34:12",Online,INR
255,103,25,346,Transfer,5442.33,27041.41,21599.08,"2024-12-27 15:35:59",Online,INR
256,182,37,73,Deposit,62431.04,113796.74,176227.78,"2024-12-07 21:42:50",NEFT,INR
257,205,26,149,Deposit,76961.29,78533.21,155494.50,"2025-11-19 00:48:58",ATM,INR
258,122,15,128,Loan_payment,3972.28,0.00,0.00,"2025-05-07 19:53:01",NEFT,INR
259,8,21,41,Deposit,54625.24,77551.31,132176.55,"2025-08-13 10:30:10",Online,INR
260,112,26,51,Transfer,51972.84,38274.49,0.00,"2026-01-21 10:04:05",Cheque,INR
261,269,5,109,Deposit,3395.21,47528.73,50923.94,"2025-02-23 08:12:01",Cheque,INR
262,261,29,353,Loan_payment,62815.24,27675.30,0.00,"2025-03-10 05:49:25",Cash,INR
263,256,22,142,Withdrawal,64686.55,97238.30,32551.75,"2025-05-13 17:35:44",Online,INR
264,200,37,171,Deposit,7675.86,2740.43,10416.29,"2025-09-20 18:11:39",Cash,INR
265,52,27,349,Transfer,67436.82,42471.83,0.00,"2024-08-09 13:28:43",Cheque,INR
266,74,26,150,Loan_payment,51643.61,73744.30,22100.69,"2025-11-18 21:05:47",Online,INR
267,313,30,356,Loan_payment,65840.08,29860.97,0.00,"2025-04-02 23:38:12",ATM,INR
268,1,8,412,Transfer,30152.29,39919.14,9766.85,"2024-03-13 19:11:28",Online,INR
269,87,48,193,Withdrawal,57244.01,128513.15,71269.14,"2024-09-24 13:47:12",Online,INR
270,195,25,147,Loan_payment,40127.01,0.00,0.00,"2025-08-16 21:49:23",ATM,INR
271,102,34,165,Withdrawal,38464.83,8138.19,0.00,"2024-03-27 10:23:38",ATM,INR
272,261,32,161,Transfer,27100.84,0.00,0.00,"2025-06-26 16:31:33",Cash,INR
273,236,48,391,Deposit,70911.87,139490.35,210402.22,"2024-05-05 02:48:43",Cash,INR
274,239,42,379,Deposit,84957.40,27202.96,112160.36,"2024-09-11 17:33:36",ATM,INR
275,69,16,269,Withdrawal,37706.41,14814.72,0.00,"2025-06-18 09:01:54",NEFT,INR
276,19,41,179,Withdrawal,14022.99,0.00,0.00,"2025-11-22 02:13:45",Cheque,INR
277,262,33,361,Deposit,42317.67,18262.65,60580.32,"2025-01-16 07:52:26",ATM,INR
278,89,3,242,Deposit,55982.41,0.00,55982.41,"2024-07-01 04:34:14",Online,INR
279,232,12,261,Withdrawal,35798.04,38012.86,2214.82,"2024-10-29 01:19:28",Online,INR
